timestamp,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1640078436091609088,"2021-12-21,09:20:36",10.1.1.3,301,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640078436123589888,"2021-12-21,09:20:36",10.1.1.3,0.33404111862182617,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640078436462291968,"2021-12-21,09:20:36",10.1.1.3,337,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640078436476301056,"2021-12-21,09:20:36",10.1.1.3,0.35152506828308105,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640078436812029952,"2021-12-21,09:20:36",10.1.1.3,334,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640078436849556992,"2021-12-21,09:20:36",10.1.1.3,0.370743989944458,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640078437161412096,"2021-12-21,09:20:37",10.1.1.3,309,0.000,0.000,0.000,0.000,0.000,0.000
1640078437192097024,"2021-12-21,09:20:37",10.1.1.3,0.3404510021209717,0.000,0.000,0.000,0.000,0.000,0.000
1640078437500664832,"2021-12-21,09:20:37",10.1.1.3,306,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640078437533508096,"2021-12-21,09:20:37",10.1.1.3,0.3396570682525635,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640078437830071040,"2021-12-21,09:20:37",10.1.1.3,294,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640078437859169024,"2021-12-21,09:20:37",10.1.1.3,0.3240010738372803,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640078438209630976,"2021-12-21,09:20:38",10.1.1.3,345,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640078438223995904,"2021-12-21,09:20:38",10.1.1.3,0.36150598526000977,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640078438531852032,"2021-12-21,09:20:38",10.1.1.3,306,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640078438593615104,"2021-12-21,09:20:38",10.1.1.3,0.36821484565734863,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640078438908780032,"2021-12-21,09:20:38",10.1.1.3,312,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640078438952802048,"2021-12-21,09:20:38",10.1.1.3,0.3573949337005615,-0.050,-0.050,-0.050,0.000,0.000,0.000
