--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,init_position,final_position,time
337,2022-01-02-11:04:40,2,6,3.094939
338,2022-01-02-11:04:43,6,2,3.054366
339,2022-01-02-11:04:45,2,3,2.571603
340,2022-01-02-11:04:48,3,0,2.356430
341,2022-01-02-11:04:49,0,2,1.698350
342,2022-01-02-11:04:52,2,7,2.552593
343,2022-01-02-11:04:56,7,6,4.004274
344,2022-01-02-11:04:59,6,0,3.446243
345,2022-01-02-11:05:01,0,7,1.886694
346,2022-01-02-11:05:03,7,3,2.132251
347,2022-01-02-11:05:05,3,1,2.193706
348,2022-01-02-11:05:07,1,2,1.944579
349,2022-01-02-11:05:10,2,7,2.562878
350,2022-01-02-11:05:12,7,1,1.636550
351,2022-01-02-11:05:15,1,6,3.547929
352,2022-01-02-11:05:19,6,7,4.033087
353,2022-01-02-11:05:23,7,6,3.956001
354,2022-01-02-11:05:27,6,7,4.013988
355,2022-01-02-11:05:29,7,0,1.933206
356,2022-01-02-11:05:31,0,5,1.857436
357,2022-01-02-11:05:33,5,7,2.576059
358,2022-01-02-11:05:35,7,4,1.862792
359,2022-01-02-11:05:37,4,0,1.493828
360,2022-01-02-11:05:39,0,2,1.719498
361,2022-01-02-11:05:41,2,3,2.551007
362,2022-01-02-11:05:43,3,5,2.145440
363,2022-01-02-11:05:45,5,1,1.921708
364,2022-01-02-11:05:46,1,0,1.008260
365,2022-01-02-11:05:48,0,5,1.882241
366,2022-01-02-11:05:51,5,7,2.535513
367,2022-01-02-11:05:53,7,3,2.128967
368,2022-01-02-11:05:55,3,5,2.155319
369,2022-01-02-11:05:58,5,6,3.102315
370,2022-01-02-11:06:01,6,0,3.436413
371,2022-01-02-11:06:03,0,5,1.832032
372,2022-01-02-11:06:05,5,3,2.150277
373,2022-01-02-11:06:09,3,6,3.635095
374,2022-01-02-11:06:13,6,1,3.531851
375,2022-01-02-11:06:14,1,7,1.652006
376,2022-01-02-11:06:18,7,6,3.996113
377,2022-01-02-11:06:22,6,7,3.974602
378,2022-01-02-11:06:24,7,1,1.652946
379,2022-01-02-11:06:25,1,4,1.320054
380,2022-01-02-11:06:27,4,7,1.888043
381,2022-01-02-11:06:29,7,4,1.856257
382,2022-01-02-11:06:31,4,5,1.804341
383,2022-01-02-11:06:33,5,0,1.838821
384,2022-01-02-11:06:34,0,5,1.859894
385,2022-01-02-11:06:36,5,0,1.837450
386,2022-01-02-11:06:38,0,4,1.484390
387,2022-01-02-11:06:39,4,0,1.489968
388,2022-01-02-11:06:41,0,2,1.696285
389,2022-01-02-11:06:43,2,0,1.727111
390,2022-01-02-11:06:44,0,2,1.686233
391,2022-01-02-11:06:46,2,1,1.935735
392,2022-01-02-11:06:48,1,5,1.929809
393,2022-01-02-11:06:50,5,4,1.740760
394,2022-01-02-11:06:53,4,6,3.443107
395,2022-01-02-11:06:56,6,5,3.070845
396,2022-01-02-11:06:58,5,4,1.737473
397,2022-01-02-11:07:02,4,6,3.407240
398,2022-01-02-11:07:05,6,3,3.630688
399,2022-01-02-11:07:08,3,0,2.359463
400,2022-01-02-11:07:09,0,1,0.985292
401,2022-01-02-11:07:10,1,4,1.314770
402,2022-01-02-11:07:12,4,3,2.127514
403,2022-01-02-11:07:14,3,0,2.348985
404,2022-01-02-11:07:15,0,1,1.036738
405,2022-01-02-11:07:19,1,6,3.528800
406,2022-01-02-11:07:22,6,2,3.077276
407,2022-01-02-11:07:25,2,7,2.552126
408,2022-01-02-11:07:26,7,4,1.839453
409,2022-01-02-11:07:28,4,5,1.733003
410,2022-01-02-11:07:30,5,1,1.894365
411,2022-01-02-11:07:32,1,7,1.750002
412,2022-01-02-11:07:34,7,3,2.135176
413,2022-01-02-11:07:36,3,1,2.227573
414,2022-01-02-11:07:37,1,0,1.039318
415,2022-01-02-11:07:41,0,6,3.434286
416,2022-01-02-11:07:44,6,2,3.051512
417,2022-01-02-11:07:46,2,7,2.627147
418,2022-01-02-11:07:48,7,1,1.652489
419,2022-01-02-11:07:50,1,7,1.658530
420,2022-01-02-11:07:54,7,6,3.966943
421,2022-01-02-11:07:57,6,3,3.619925
422,2022-01-02-11:08:00,3,2,2.541257
423,2022-01-02-11:08:01,2,5,1.485486
424,2022-01-02-11:08:04,5,7,2.567099
425,2022-01-02-11:08:06,7,0,1.924131
426,2022-01-02-11:08:07,0,2,1.733667
427,2022-01-02-11:08:09,2,4,1.765733
428,2022-01-02-11:08:13,4,6,3.445973
429,2022-01-02-11:08:17,6,7,3.995640
430,2022-01-02-11:08:21,7,6,3.949937
431,2022-01-02-11:08:24,6,0,3.448334
432,2022-01-02-11:08:28,0,6,3.442888
433,2022-01-02-11:08:31,6,1,3.540959
434,2022-01-02-11:08:33,1,3,2.217043
435,2022-01-02-11:08:36,3,0,2.422626
436,2022-01-02-11:08:38,0,3,2.364680
437,2022-01-02-11:08:40,3,7,2.124234
438,2022-01-02-11:08:43,7,2,2.565615
439,2022-01-02-11:08:44,2,0,1.730798
440,2022-01-02-11:08:46,0,5,1.931129
441,2022-01-02-11:08:48,5,2,1.522007
442,2022-01-02-11:08:50,2,0,1.682739
443,2022-01-02-11:08:51,0,1,1.041397
444,2022-01-02-11:08:52,1,7,1.650275
445,2022-01-02-11:08:54,7,3,2.135112
446,2022-01-02-11:08:57,3,5,2.140560
447,2022-01-02-11:08:58,5,2,1.487398
448,2022-01-02-11:09:01,2,3,2.562038
449,2022-01-02-11:09:04,3,6,3.630794
450,2022-01-02-11:09:07,6,5,3.092864
451,2022-01-02-11:09:10,5,7,2.572018
452,2022-01-02-11:09:12,7,4,1.865436
453,2022-01-02-11:09:15,4,6,3.435916
454,2022-01-02-11:09:19,6,1,3.528998
455,2022-01-02-11:09:21,1,5,1.921736
456,2022-01-02-11:09:22,5,4,1.758057
457,2022-01-02-11:09:24,4,1,1.321752
458,2022-01-02-11:09:26,1,3,2.204559
459,2022-01-02-11:09:28,3,7,2.136038
460,2022-01-02-11:09:30,7,0,1.936247
461,2022-01-02-11:09:32,0,7,1.925802
462,2022-01-02-11:09:34,7,3,2.098408
463,2022-01-02-11:09:36,3,4,2.151119
464,2022-01-02-11:09:38,4,2,1.791664
465,2022-01-02-11:09:40,2,0,1.725071
466,2022-01-02-11:09:42,0,5,1.856508
467,2022-01-02-11:09:43,5,1,1.894904
468,2022-01-02-11:09:45,1,4,1.323556
469,2022-01-02-11:09:47,4,2,1.802900
470,2022-01-02-11:09:48,2,0,1.722130
471,2022-01-02-11:09:51,0,3,2.365060
472,2022-01-02-11:09:53,3,7,2.127682
473,2022-01-02-11:09:55,7,4,1.894421
474,2022-01-02-11:09:57,4,7,1.925393
