"iteration,date,executiontime"
383,2022-02-08-13:07:16,0.43448
384,2022-02-08-13:07:16,0.37393
385,2022-02-08-13:07:17,0.41300
386,2022-02-08-13:07:18,0.64199
387,2022-02-08-13:07:18,0.63622
388,2022-02-08-13:07:19,0.52070
389,2022-02-08-13:07:20,0.97923
390,2022-02-08-13:07:20,0.61056
391,2022-02-08-13:07:21,0.92690
392,2022-02-08-13:07:22,0.92234
393,2022-02-08-13:07:23,0.69206
394,2022-02-08-13:07:24,0.83782
395,2022-02-08-13:07:24,0.71118
396,2022-02-08-13:07:25,0.61383
397,2022-02-08-13:07:26,0.79189
398,2022-02-08-13:07:26,0.64949
399,2022-02-08-13:07:27,0.75131
400,2022-02-08-13:07:28,0.51244
401,2022-02-08-13:07:28,0.50989
402,2022-02-08-13:07:29,0.57708
403,2022-02-08-13:07:29,0.53066
404,2022-02-08-13:07:30,0.51064
405,2022-02-08-13:07:30,0.44808
406,2022-02-08-13:07:31,0.81735
407,2022-02-08-13:07:32,0.72796
408,2022-02-08-13:07:33,0.72591
409,2022-02-08-13:07:33,0.65231
410,2022-02-08-13:07:34,0.74875
411,2022-02-08-13:07:35,0.71383
412,2022-02-08-13:07:35,0.57971
413,2022-02-08-13:07:36,0.49315
414,2022-02-08-13:07:36,0.72138
415,2022-02-08-13:07:37,0.89314
416,2022-02-08-13:07:38,0.48553
417,2022-02-08-13:07:38,0.38439
418,2022-02-08-13:07:39,0.55346
419,2022-02-08-13:07:39,0.51814
420,2022-02-08-13:07:40,0.77689
421,2022-02-08-13:07:41,0.84531
422,2022-02-08-13:07:41,0.41383
423,2022-02-08-13:07:42,0.41252
424,2022-02-08-13:07:42,0.71896
425,2022-02-08-13:07:43,0.49576
426,2022-02-08-13:07:44,0.71911
427,2022-02-08-13:07:44,0.48679
428,2022-02-08-13:07:45,0.81574
429,2022-02-08-13:07:46,0.72761
430,2022-02-08-13:07:46,0.38319
431,2022-02-08-13:07:47,0.81020
432,2022-02-08-13:07:47,0.56120
433,2022-02-08-13:07:48,0.74033
434,2022-02-08-13:07:49,0.67884
435,2022-02-08-13:07:50,0.72917
436,2022-02-08-13:07:50,0.51240
437,2022-02-08-13:07:51,0.68160
438,2022-02-08-13:07:51,0.67528
439,2022-02-08-13:07:52,0.92036
440,2022-02-08-13:07:53,0.44400
441,2022-02-08-13:07:54,0.72043
442,2022-02-08-13:07:54,0.57872
443,2022-02-08-13:07:55,0.41463
444,2022-02-08-13:07:56,0.95343
445,2022-02-08-13:07:56,0.85448
446,2022-02-08-13:07:57,0.62624
447,2022-02-08-13:07:58,0.77799
448,2022-02-08-13:07:59,0.80424
449,2022-02-08-13:07:59,0.51152
450,2022-02-08-13:08:00,0.74214
451,2022-02-08-13:08:00,0.62638
452,2022-02-08-13:08:01,0.83915
453,2022-02-08-13:08:02,0.62325
454,2022-02-08-13:08:02,0.54878
455,2022-02-08-13:08:03,0.77976
456,2022-02-08-13:08:04,0.47454
457,2022-02-08-13:08:04,0.37779
458,2022-02-08-13:08:05,0.41586
459,2022-02-08-13:08:05,0.75185
