"iteration,date,init_position,final_position,time"
530,2022-01-27-13:32:31,4,0,1.55767
531,2022-01-27-13:32:34,0,3,2.42827
532,2022-01-27-13:32:36,3,4,2.12508
533,2022-01-27-13:32:38,4,7,1.90451
534,2022-01-27-13:32:40,7,0,1.91923
535,2022-01-27-13:32:42,0,7,1.91111
536,2022-01-27-13:32:46,7,6,3.97518
537,2022-01-27-13:32:49,6,3,3.65726
538,2022-01-27-13:32:51,3,1,2.22563
539,2022-01-27-13:32:55,1,6,3.56096
540,2022-01-27-13:32:59,6,7,4.03373
541,2022-01-27-13:33:01,7,3,2.13645
542,2022-01-27-13:33:05,3,6,3.64134
543,2022-01-27-13:33:08,6,1,3.53506
544,2022-01-27-13:33:10,1,4,1.34155
545,2022-01-27-13:33:12,4,7,1.88903
546,2022-01-27-13:33:14,7,5,2.56090
547,2022-01-27-13:33:16,5,4,1.83024
548,2022-01-27-13:33:18,4,3,2.12195
549,2022-01-27-13:33:20,3,7,2.14750
550,2022-01-27-13:33:22,7,1,1.69889
551,2022-01-27-13:33:23,1,4,1.36923
552,2022-01-27-13:33:27,4,6,3.44801
553,2022-01-27-13:33:30,6,0,3.48235
554,2022-01-27-13:33:33,0,3,2.31634
555,2022-01-27-13:33:35,3,0,2.45518
556,2022-01-27-13:33:36,0,1,1.09450
557,2022-01-27-13:33:39,1,3,2.34519
558,2022-01-27-13:33:42,3,6,3.69724
559,2022-01-27-13:33:46,6,4,3.48005
560,2022-01-27-13:33:49,4,6,3.46579
561,2022-01-27-13:33:53,6,4,3.48009
562,2022-01-27-13:33:56,4,6,3.46288
563,2022-01-27-13:34:00,6,7,4.03225
564,2022-01-27-13:34:02,7,0,1.95679
565,2022-01-27-13:34:04,0,7,1.93743
566,2022-01-27-13:34:06,7,4,1.87258
567,2022-01-27-13:34:09,4,6,3.47046
568,2022-01-27-13:34:13,6,4,3.46805
569,2022-01-27-13:34:14,4,1,1.33458
570,2022-01-27-13:34:16,1,5,2.01973
571,2022-01-27-13:34:18,5,0,1.85540
572,2022-01-27-13:34:19,0,1,1.02255
573,2022-01-27-13:34:21,1,3,2.24632
574,2022-01-27-13:34:23,3,5,2.16559
575,2022-01-27-13:34:27,5,6,3.13175
576,2022-01-27-13:34:30,6,4,3.45525
577,2022-01-27-13:34:32,4,2,1.77692
578,2022-01-27-13:34:34,2,0,1.74447
579,2022-01-27-13:34:35,0,5,1.91092
