"iteration,date,executiontime"
423,2022-02-09-00:19:26,0.76293
424,2022-02-09-00:19:27,0.66499
425,2022-02-09-00:19:27,0.64987
426,2022-02-09-00:19:28,0.59231
427,2022-02-09-00:19:29,0.66890
428,2022-02-09-00:19:29,0.61120
429,2022-02-09-00:19:30,0.71439
430,2022-02-09-00:19:31,0.54331
431,2022-02-09-00:19:31,0.73174
432,2022-02-09-00:19:32,0.60987
433,2022-02-09-00:19:33,0.78968
434,2022-02-09-00:19:33,0.63058
435,2022-02-09-00:19:34,0.73588
436,2022-02-09-00:19:35,0.73882
437,2022-02-09-00:19:35,0.66147
438,2022-02-09-00:19:36,0.79433
439,2022-02-09-00:19:37,0.68759
440,2022-02-09-00:19:38,0.98256
441,2022-02-09-00:19:39,0.62835
442,2022-02-09-00:19:39,0.56651
443,2022-02-09-00:19:40,0.95029
444,2022-02-09-00:19:41,0.62694
445,2022-02-09-00:19:41,0.65724
446,2022-02-09-00:19:42,0.68936
447,2022-02-09-00:19:43,0.75977
448,2022-02-09-00:19:44,0.72941
449,2022-02-09-00:19:44,0.65879
450,2022-02-09-00:19:45,0.55984
451,2022-02-09-00:19:46,0.90263
452,2022-02-09-00:19:46,0.69831
453,2022-02-09-00:19:47,0.58344
454,2022-02-09-00:19:48,0.79272
455,2022-02-09-00:19:48,0.70764
456,2022-02-09-00:19:49,0.59944
457,2022-02-09-00:19:50,0.69726
458,2022-02-09-00:19:50,0.64212
459,2022-02-09-00:19:51,0.73399
460,2022-02-09-00:19:52,0.85638
461,2022-02-09-00:19:53,0.76578
462,2022-02-09-00:19:54,0.77517
463,2022-02-09-00:19:54,0.74360
464,2022-02-09-00:19:55,0.64712
465,2022-02-09-00:19:56,0.62429
466,2022-02-09-00:19:56,0.71784
467,2022-02-09-00:19:57,0.85852
468,2022-02-09-00:19:58,0.64756
469,2022-02-09-00:19:59,0.85630
470,2022-02-09-00:20:00,0.89727
471,2022-02-09-00:20:00,0.64243
472,2022-02-09-00:20:01,0.68241
473,2022-02-09-00:20:02,0.70112
474,2022-02-09-00:20:02,0.60951
475,2022-02-09-00:20:03,0.81487
476,2022-02-09-00:20:04,0.61846
477,2022-02-09-00:20:04,0.82764
478,2022-02-09-00:20:05,0.65973
479,2022-02-09-00:20:06,0.55661
480,2022-02-09-00:20:06,0.65107
481,2022-02-09-00:20:07,0.71585
482,2022-02-09-00:20:08,0.73947
483,2022-02-09-00:20:08,0.63731
484,2022-02-09-00:20:09,0.68359
485,2022-02-09-00:20:10,0.66945
486,2022-02-09-00:20:10,0.61787
487,2022-02-09-00:20:11,0.91059
488,2022-02-09-00:20:12,0.99315
489,2022-02-09-00:20:13,0.75457
490,2022-02-09-00:20:14,0.53031
491,2022-02-09-00:20:15,0.74397
492,2022-02-09-00:20:16,0.95281
493,2022-02-09-00:20:16,0.81384
494,2022-02-09-00:20:17,0.78963
495,2022-02-09-00:20:18,0.58003
496,2022-02-09-00:20:18,0.61163
497,2022-02-09-00:20:19,0.66430
