timestamp,date,init_position,final_position,latency
1643877921219831040,2022-02-03-08:45:21,-1,1,2618
1643877929487744000,2022-02-03-08:45:29,-1,8,8267
1643877933519083008,2022-02-03-08:45:33,-1,4,4031
1643877935340392192,2022-02-03-08:45:35,-1,9,1820
1643877942585779968,2022-02-03-08:45:42,-1,4,7245
1643877951648119808,2022-02-03-08:45:51,-1,8,9062
1643877963941811200,2022-02-03-08:46:03,-1,2,12293
1643877967969480960,2022-02-03-08:46:07,-1,9,4027
1643877969788834048,2022-02-03-08:46:09,-1,4,1818
1643877973020313088,2022-02-03-08:46:13,-1,0,3231
1643877975437905920,2022-02-03-08:46:15,-1,1,2416
1643877978053140992,2022-02-03-08:46:18,-1,0,2614
1643877982889672960,2022-02-03-08:46:22,-1,4,4836
1643877985114192896,2022-02-03-08:46:25,-1,9,2224
1643877985315196928,2022-02-03-08:46:25,-1,9,200
1643877985519136000,2022-02-03-08:46:25,-1,9,203
1643877987341363968,2022-02-03-08:46:27,-1,4,1821
1643877990563944192,2022-02-03-08:46:30,-1,7,3222
1643877990765291008,2022-02-03-08:46:30,-1,7,201
1643877995408801024,2022-02-03-08:46:35,-1,8,4643
1643877998030109952,2022-02-03-08:46:38,-1,9,2620
1643878006482850048,2022-02-03-08:46:46,-1,8,8452
1643878011110512128,2022-02-03-08:46:51,-1,7,4627
1643878016145929216,2022-02-03-08:46:56,-1,3,5034
1643878019766480896,2022-02-03-08:46:59,-1,1,3620
1643878022183361024,2022-02-03-08:47:02,-1,4,2416
1643878025607595008,2022-02-03-08:47:05,-1,2,3423
1643878029832480000,2022-02-03-08:47:09,-1,7,4224
1643878035261660160,2022-02-03-08:47:15,-1,1,5428
1643878039296622080,2022-02-03-08:47:19,-1,2,4034
1643878043725660160,2022-02-03-08:47:23,-1,7,4428
1643878048359257088,2022-02-03-08:47:28,-1,0,4633
1643878048560252928,2022-02-03-08:47:28,-1,0,200
1643878048761614080,2022-02-03-08:47:28,-1,0,201
1643878048962878976,2022-02-03-08:47:28,-1,0,200
1643878049164295936,2022-02-03-08:47:29,-1,0,201
1643878053611484928,2022-02-03-08:47:33,-1,7,4446
1643878057839534080,2022-02-03-08:47:37,-1,2,4227
1643878061875183104,2022-02-03-08:47:41,-1,1,4035
1643878064290705920,2022-02-03-08:47:44,-1,4,2415
1643878068323088896,2022-02-03-08:47:48,-1,3,4031
1643878071137207040,2022-02-03-08:47:51,-1,0,2813
1643878071338469888,2022-02-03-08:47:51,-1,0,200
1643878077986768896,2022-02-03-08:47:57,-1,2,6647
1643878081214301184,2022-02-03-08:48:01,-1,4,3227
1643878083631657984,2022-02-03-08:48:0
