"iteration,date,init_position,final_position,time"
331,2022-01-27-20:16:35,3,7,3.32511
332,2022-01-27-20:16:38,7,4,3.56409
333,2022-01-27-20:16:41,4,3,2.17160
334,2022-01-27-20:16:44,3,0,3.62557
335,2022-01-27-20:16:46,0,7,2.02631
336,2022-01-27-20:16:48,7,3,2.26296
337,2022-01-27-20:16:51,3,7,2.26532
338,2022-01-27-20:16:53,7,1,1.78146
339,2022-01-27-20:16:55,1,3,2.25232
340,2022-01-27-20:16:58,3,7,3.36791
341,2022-01-27-20:17:01,7,5,2.75663
342,2022-01-27-20:17:03,5,1,2.06932
343,2022-01-27-20:17:05,1,5,2.04295
344,2022-01-27-20:17:07,5,0,2.33795
345,2022-01-27-20:17:09,0,5,2.14772
346,2022-01-27-20:17:13,5,4,3.57736
347,2022-01-27-20:17:17,4,5,3.90726
348,2022-01-27-20:17:19,5,0,1.93597
349,2022-01-27-20:17:21,0,7,2.03843
350,2022-01-27-20:17:25,7,6,4.16696
351,2022-01-27-20:17:29,6,7,4.09683
352,2022-01-27-20:17:31,7,1,1.74911
353,2022-01-27-20:17:33,1,5,2.03743
354,2022-01-27-20:17:36,5,7,2.63198
355,2022-01-27-20:17:39,7,4,3.48449
356,2022-01-27-20:17:41,4,1,1.40283
357,2022-01-27-20:17:43,1,3,2.41991
358,2022-01-27-20:17:46,3,1,3.21067
359,2022-01-27-20:17:49,1,3,2.46083
360,2022-01-27-20:17:52,3,7,3.40739
361,2022-01-27-20:17:55,7,5,2.86135
362,2022-01-27-20:17:57,5,1,2.31027
363,2022-01-27-20:17:59,1,7,1.70707
364,2022-01-27-20:18:03,7,3,3.95926
365,2022-01-27-20:18:06,3,0,3.34790
366,2022-01-27-20:18:08,0,5,1.97895
367,2022-01-27-20:18:12,5,2,3.77097
368,2022-01-27-20:18:16,2,1,4.28632
369,2022-01-27-20:18:18,1,7,1.76952
370,2022-01-27-20:18:22,7,3,3.92437
371,2022-01-27-20:18:25,3,1,3.48756
372,2022-01-27-20:18:28,1,2,2.08081
373,2022-01-27-20:18:30,2,7,2.68272
374,2022-01-27-20:18:33,7,2,2.63946
375,2022-01-27-20:18:36,2,3,3.09501
376,2022-01-27-20:18:39,3,2,3.02688
377,2022-01-27-20:18:41,2,0,1.78643
378,2022-01-27-20:18:42,0,1,1.14621
379,2022-01-27-20:18:43,1,0,1.15050
380,2022-01-27-20:18:46,0,3,2.56318
381,2022-01-27-20:18:48,3,5,2.34693
382,2022-01-27-20:18:51,5,6,3.18581
383,2022-01-27-20:18:55,6,1,3.74078
384,2022-01-27-20:18:56,1,4,1.51668
